"Date","SearchEngine","KeywordGroup","Website","Position"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","16"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","word cloud","tableau","10"
"2014-07-02","Yahoo","dashboard","tableau","7"
"2014-07-02","Yahoo","interactive","tableau","5"
"2014-07-02","Yahoo","word cloud","tableau","18"
"2014-07-02","Yahoo","dashboard","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","36"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","6"
"2014-07-02","Yahoo","sankey","tableau","5"
"2014-07-02","Yahoo","word cloud","tableau","15"
"2014-07-02","Yahoo","dashboard","tableau","6"
"2014-07-02","Yahoo","dashboard","tableau","10"
"2014-07-02","Yahoo","word cloud","tableau","7"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","word cloud","tableau","7"
"2014-07-02","Yahoo","word cloud","tableau","11"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","15"
"2014-07-02","Yahoo","word cloud","tableau","12"
"2014-07-02","Yahoo","sankey","tableau","26"
"2014-07-02","Yahoo","word cloud","tableau","20"
"2014-07-02","Yahoo","sankey","tableau","3"
"2014-07-02","Yahoo","word cloud","tableau","11"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","1"
"2014-07-02","Yahoo","word cloud","tableau","38"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","2"
"2014-07-02","Yahoo","dashboard","tableau","5"
"2014-07-02","Yahoo","dashboard","tableau","6"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","sankey","tableau","6"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","interactive","tableau","3"
"2014-07-02","Yahoo","word cloud","tableau","3"
"2014-07-02","Yahoo","dashboard","tableau","6"
"2014-07-02","Yahoo","dashboard","tableau","9"
"2014-07-02","Yahoo","dashboard","tableau","4"
"2014-07-02","Yahoo","dashboard","tableau","31"
"2014-07-02","Yahoo","dashboard","tableau","8"
"2014-07-02","Yahoo","interactive","tableau","1"
"2014-07-02","Yahoo","word cloud","tableau",0
"2014-07-02","Yahoo","word cloud","tableau",0
"2014-07-02","Yahoo","word cloud","tableau",0
"2014-07-02","Yahoo","dashboard","tableau","16"
